Index,Patch,Oracle,Predicted value
50,correct/patch1-Closure-1-dev.patch,correct,overfitting
51,correct/patch1-Closure-10-dev.patch,correct,overfitting
52,correct/patch1-Closure-100-dev.patch,correct,overfitting
53,correct/patch1-Closure-101-dev.patch,correct,overfitting
54,correct/patch1-Closure-102-dev.patch,correct,overfitting
55,correct/patch1-Closure-103-dev.patch,correct,overfitting
56,correct/patch1-Closure-104-dev.patch,correct,overfitting
57,correct/patch1-Closure-105-dev.patch,correct,overfitting
58,correct/patch1-Closure-106-dev.patch,correct,overfitting
59,correct/patch1-Closure-107-dev.patch,correct,correct
60,correct/patch1-Closure-108-dev.patch,correct,overfitting
61,correct/patch1-Closure-109-dev.patch,correct,overfitting
62,correct/patch1-Closure-11-dev.patch,correct,overfitting
63,correct/patch1-Closure-110-dev.patch,correct,overfitting
64,correct/patch1-Closure-111-dev.patch,correct,overfitting
65,correct/patch1-Closure-112-dev.patch,correct,correct
66,correct/patch1-Closure-113-dev.patch,correct,correct
67,correct/patch1-Closure-114-dev.patch,correct,overfitting
68,correct/patch1-Closure-115-AVATAR.patch,correct,overfitting
69,correct/patch1-Closure-115-Arja.patch,correct,correct
70,correct/patch1-Closure-115-Kali.patch,correct,overfitting
71,correct/patch1-Closure-115-RSRepair.patch,correct,overfitting
72,correct/patch1-Closure-115-SimFix.patch,correct,overfitting
73,correct/patch1-Closure-115-dev.patch,correct,overfitting
74,correct/patch1-Closure-116-dev.patch,correct,overfitting
75,correct/patch1-Closure-117-dev.patch,correct,overfitting
76,correct/patch1-Closure-118-dev.patch,correct,correct
77,correct/patch1-Closure-119-dev.patch,correct,overfitting
78,correct/patch1-Closure-12-dev.patch,correct,overfitting
79,correct/patch1-Closure-120-dev.patch,correct,correct
80,correct/patch1-Closure-121-dev.patch,correct,correct
81,correct/patch1-Closure-122-dev.patch,correct,overfitting
82,correct/patch1-Closure-123-dev.patch,correct,overfitting
83,correct/patch1-Closure-124-dev.patch,correct,overfitting
84,correct/patch1-Closure-125-dev.patch,correct,overfitting
85,correct/patch1-Closure-126-Arja.patch,correct,correct
86,correct/patch1-Closure-126-GenProg.patch,correct,overfitting
87,correct/patch1-Closure-126-RSRepair.patch,correct,overfitting
88,correct/patch1-Closure-126-SketchFix.patch,correct,overfitting
89,correct/patch1-Closure-126-dev.patch,correct,overfitting
90,correct/patch1-Closure-126-jKali.patch,correct,overfitting
91,correct/patch1-Closure-127-dev.patch,correct,overfitting
92,correct/patch1-Closure-128-dev.patch,correct,correct
93,correct/patch1-Closure-129-dev.patch,correct,overfitting
94,correct/patch1-Closure-13-dev.patch,correct,correct
95,correct/patch1-Closure-130-dev.patch,correct,overfitting
96,correct/patch1-Closure-131-dev.patch,correct,overfitting
97,correct/patch1-Closure-132-dev.patch,correct,overfitting
98,correct/patch1-Closure-133-dev.patch,correct,correct
99,correct/patch1-Closure-14-dev.patch,correct,overfitting
100,correct/patch1-Closure-15-dev.patch,correct,overfitting
101,correct/patch1-Closure-16-dev.patch,correct,correct
102,correct/patch1-Closure-17-dev.patch,correct,overfitting
103,correct/patch1-Closure-18-Jaid.patch,correct,overfitting
104,correct/patch1-Closure-18-SequenceR.patch,correct,overfitting
105,correct/patch1-Closure-18-dev.patch,correct,correct
106,correct/patch1-Closure-19-SimFix.patch,correct,overfitting
107,correct/patch1-Closure-19-dev.patch,correct,overfitting
108,correct/patch1-Closure-2-AVATAR.patch,correct,overfitting
109,correct/patch1-Closure-2-dev.patch,correct,overfitting
110,correct/patch1-Closure-20-dev.patch,correct,overfitting
111,correct/patch1-Closure-21-dev.patch,correct,overfitting
112,correct/patch1-Closure-22-dev.patch,correct,overfitting
113,correct/patch1-Closure-23-dev.patch,correct,overfitting
114,correct/patch1-Closure-24-dev.patch,correct,overfitting
115,correct/patch1-Closure-25-dev.patch,correct,correct
116,correct/patch1-Closure-26-dev.patch,correct,correct
117,correct/patch1-Closure-27-dev.patch,correct,overfitting
118,correct/patch1-Closure-28-dev.patch,correct,overfitting
119,correct/patch1-Closure-29-dev.patch,correct,overfitting
120,correct/patch1-Closure-3-dev.patch,correct,overfitting
121,correct/patch1-Closure-30-dev.patch,correct,overfitting
122,correct/patch1-Closure-31-Jaid.patch,correct,correct
123,correct/patch1-Closure-31-dev.patch,correct,correct
124,correct/patch1-Closure-32-dev.patch,correct,overfitting
125,correct/patch1-Closure-33-Jaid.patch,correct,overfitting
126,correct/patch1-Closure-33-dev.patch,correct,overfitting
127,correct/patch1-Closure-34-dev.patch,correct,overfitting
128,correct/patch1-Closure-35-dev.patch,correct,overfitting
129,correct/patch1-Closure-36-dev.patch,correct,overfitting
130,correct/patch1-Closure-37-dev.patch,correct,correct
131,correct/patch1-Closure-38-AVATAR.patch,correct,correct
132,correct/patch1-Closure-38-dev.patch,correct,correct
133,correct/patch1-Closure-39-dev.patch,correct,overfitting
134,correct/patch1-Closure-4-dev.patch,correct,overfitting
135,correct/patch1-Closure-40-dev.patch,correct,overfitting
136,correct/patch1-Closure-40-kPAR.patch,correct,overfitting
137,correct/patch1-Closure-41-dev.patch,correct,overfitting
138,correct/patch1-Closure-42-dev.patch,correct,correct
139,correct/patch1-Closure-43-dev.patch,correct,overfitting
140,correct/patch1-Closure-44-dev.patch,correct,overfitting
141,correct/patch1-Closure-45-dev.patch,correct,overfitting
142,correct/patch1-Closure-46-AVATAR.patch,correct,correct
143,correct/patch1-Closure-46-dev.patch,correct,correct
144,correct/patch1-Closure-47-dev.patch,correct,correct
145,correct/patch1-Closure-48-dev.patch,correct,overfitting
146,correct/patch1-Closure-49-dev.patch,correct,overfitting
147,correct/patch1-Closure-5-dev.patch,correct,overfitting
148,correct/patch1-Closure-50-dev.patch,correct,correct
149,correct/patch1-Closure-51-dev.patch,correct,overfitting
150,correct/patch1-Closure-52-dev.patch,correct,overfitting
151,correct/patch1-Closure-53-dev.patch,correct,overfitting
152,correct/patch1-Closure-54-dev.patch,correct,overfitting
153,correct/patch1-Closure-55-dev.patch,correct,correct
154,correct/patch1-Closure-56-dev.patch,correct,overfitting
155,correct/patch1-Closure-57-dev.patch,correct,overfitting
156,correct/patch1-Closure-58-dev.patch,correct,overfitting
157,correct/patch1-Closure-59-dev.patch,correct,overfitting
158,correct/patch1-Closure-6-SimFix.patch,correct,overfitting
159,correct/patch1-Closure-6-dev.patch,correct,overfitting
160,correct/patch1-Closure-60-dev.patch,correct,correct
161,correct/patch1-Closure-61-dev.patch,correct,overfitting
162,correct/patch1-Closure-62-AVATAR.patch,correct,overfitting
163,correct/patch1-Closure-62-dev.patch,correct,overfitting
164,correct/patch1-Closure-64-dev.patch,correct,overfitting
165,correct/patch1-Closure-65-dev.patch,correct,overfitting
166,correct/patch1-Closure-66-dev.patch,correct,overfitting
167,correct/patch1-Closure-67-dev.patch,correct,overfitting
168,correct/patch1-Closure-68-SimFix.patch,correct,overfitting
169,correct/patch1-Closure-68-dev.patch,correct,overfitting
170,correct/patch1-Closure-69-dev.patch,correct,correct
171,correct/patch1-Closure-7-dev.patch,correct,overfitting
172,correct/patch1-Closure-70-Jaid.patch,correct,overfitting
173,correct/patch1-Closure-70-dev.patch,correct,overfitting
174,correct/patch1-Closure-71-dev.patch,correct,overfitting
175,correct/patch1-Closure-72-dev.patch,correct,overfitting
176,correct/patch1-Closure-73-AVATAR.patch,correct,overfitting
177,correct/patch1-Closure-73-SequenceR.patch,correct,overfitting
178,correct/patch1-Closure-73-dev.patch,correct,overfitting
179,correct/patch1-Closure-74-dev.patch,correct,overfitting
180,correct/patch1-Closure-75-dev.patch,correct,overfitting
181,correct/patch1-Closure-76-dev.patch,correct,overfitting
182,correct/patch1-Closure-77-dev.patch,correct,overfitting
183,correct/patch1-Closure-78-dev.patch,correct,overfitting
184,correct/patch1-Closure-79-dev.patch,correct,correct
185,correct/patch1-Closure-8-dev.patch,correct,overfitting
186,correct/patch1-Closure-80-dev.patch,correct,overfitting
187,correct/patch1-Closure-81-dev.patch,correct,overfitting
188,correct/patch1-Closure-82-dev.patch,correct,correct
189,correct/patch1-Closure-83-dev.patch,correct,overfitting
190,correct/patch1-Closure-84-dev.patch,correct,overfitting
191,correct/patch1-Closure-85-dev.patch,correct,overfitting
192,correct/patch1-Closure-86-SequenceR.patch,correct,overfitting
193,correct/patch1-Closure-86-dev.patch,correct,overfitting
194,correct/patch1-Closure-87-dev.patch,correct,overfitting
195,correct/patch1-Closure-88-dev.patch,correct,overfitting
196,correct/patch1-Closure-89-dev.patch,correct,overfitting
197,correct/patch1-Closure-9-dev.patch,correct,overfitting
198,correct/patch1-Closure-90-dev.patch,correct,correct
199,correct/patch1-Closure-91-dev.patch,correct,overfitting
200,correct/patch1-Closure-92-dev.patch,correct,correct
201,correct/patch1-Closure-94-dev.patch,correct,overfitting
202,correct/patch1-Closure-95-dev.patch,correct,overfitting
203,correct/patch1-Closure-96-dev.patch,correct,overfitting
204,correct/patch1-Closure-97-dev.patch,correct,overfitting
205,correct/patch1-Closure-98-dev.patch,correct,overfitting
206,correct/patch1-Closure-99-dev.patch,correct,overfitting
207,correct/patch1-Lang-1-dev.patch,correct,overfitting
208,correct/patch1-Lang-10-AVATAR.patch,correct,overfitting
209,correct/patch1-Lang-10-dev.patch,correct,overfitting
210,correct/patch1-Lang-10-jKali.patch,correct,overfitting
211,correct/patch1-Lang-11-dev.patch,correct,overfitting
212,correct/patch1-Lang-12-dev.patch,correct,overfitting
213,correct/patch1-Lang-13-dev.patch,correct,overfitting
214,correct/patch1-Lang-14-dev.patch,correct,overfitting
215,correct/patch1-Lang-15-dev.patch,correct,overfitting
216,correct/patch1-Lang-16-dev.patch,correct,overfitting
217,correct/patch1-Lang-17-dev.patch,correct,overfitting
218,correct/patch1-Lang-18-dev.patch,correct,overfitting
219,correct/patch1-Lang-19-dev.patch,correct,overfitting
220,correct/patch1-Lang-2-dev.patch,correct,overfitting
221,correct/patch1-Lang-20-dev.patch,correct,overfitting
222,correct/patch1-Lang-21-dev.patch,correct,overfitting
223,correct/patch1-Lang-22-dev.patch,correct,overfitting
224,correct/patch1-Lang-23-dev.patch,correct,overfitting
225,correct/patch1-Lang-24-ACS.patch,correct,overfitting
226,correct/patch1-Lang-24-dev.patch,correct,overfitting
227,correct/patch1-Lang-26-CapGen.patch,correct,overfitting
228,correct/patch1-Lang-26-dev.patch,correct,overfitting
229,correct/patch1-Lang-27-dev.patch,correct,correct
230,correct/patch1-Lang-28-dev.patch,correct,correct
231,correct/patch1-Lang-29-dev.patch,correct,overfitting
232,correct/patch1-Lang-3-dev.patch,correct,overfitting
233,correct/patch1-Lang-30-dev.patch,correct,overfitting
234,correct/patch1-Lang-31-dev.patch,correct,overfitting
235,correct/patch1-Lang-32-dev.patch,correct,overfitting
236,correct/patch1-Lang-33-Jaid.patch,correct,overfitting
237,correct/patch1-Lang-33-SimFix.patch,correct,overfitting
238,correct/patch1-Lang-33-TBar.patch,correct,overfitting
239,correct/patch1-Lang-33-dev.patch,correct,overfitting
240,correct/patch1-Lang-34-dev.patch,correct,overfitting
241,correct/patch1-Lang-35-ACS.patch,correct,overfitting
242,correct/patch1-Lang-35-dev.patch,correct,overfitting
243,correct/patch1-Lang-36-dev.patch,correct,overfitting
244,correct/patch1-Lang-37-dev.patch,correct,overfitting
245,correct/patch1-Lang-38-Jaid.patch,correct,overfitting
246,correct/patch1-Lang-38-dev.patch,correct,overfitting
247,correct/patch1-Lang-39-SimFix.patch,correct,overfitting
248,correct/patch1-Lang-39-dev.patch,correct,overfitting
249,correct/patch1-Lang-4-dev.patch,correct,overfitting
250,correct/patch1-Lang-40-dev.patch,correct,overfitting
251,correct/patch1-Lang-41-dev.patch,correct,overfitting
252,correct/patch1-Lang-42-dev.patch,correct,overfitting
253,correct/patch1-Lang-43-SimFix.patch,correct,overfitting
254,correct/patch1-Lang-43-dev.patch,correct,overfitting
255,correct/patch1-Lang-44-Nopol2015.patch,correct,overfitting
256,correct/patch1-Lang-44-dev.patch,correct,overfitting
257,correct/patch1-Lang-45-Jaid.patch,correct,overfitting
258,correct/patch1-Lang-45-dev.patch,correct,overfitting
259,correct/patch1-Lang-46-Nopol.patch,correct,overfitting
260,correct/patch1-Lang-46-dev.patch,correct,overfitting
261,correct/patch1-Lang-47-TBar.patch,correct,overfitting
262,correct/patch1-Lang-47-dev.patch,correct,overfitting
263,correct/patch1-Lang-48-dev.patch,correct,overfitting
264,correct/patch1-Lang-49-dev.patch,correct,overfitting
265,correct/patch1-Lang-5-dev.patch,correct,overfitting
266,correct/patch1-Lang-50-dev.patch,correct,overfitting
267,correct/patch1-Lang-51-Jaid.patch,correct,overfitting
268,correct/patch1-Lang-51-SOFix.patch,correct,overfitting
269,correct/patch1-Lang-51-dev.patch,correct,overfitting
270,correct/patch1-Lang-52-dev.patch,correct,overfitting
271,correct/patch1-Lang-53-dev.patch,correct,overfitting
272,correct/patch1-Lang-54-dev.patch,correct,overfitting
273,correct/patch1-Lang-55-Jaid.patch,correct,overfitting
274,correct/patch1-Lang-55-Nopol2015.patch,correct,overfitting
275,correct/patch1-Lang-55-dev.patch,correct,overfitting
276,correct/patch1-Lang-56-dev.patch,correct,overfitting
277,correct/patch1-Lang-57-AVATAR.patch,correct,overfitting
278,correct/patch1-Lang-57-CapGen.patch,correct,overfitting
279,correct/patch1-Lang-57-HDRepair.patch,correct,correct
280,correct/patch1-Lang-57-dev.patch,correct,correct
281,correct/patch1-Lang-58-Nopol2015.patch,correct,overfitting
282,correct/patch1-Lang-58-SimFix.patch,correct,overfitting
283,correct/patch1-Lang-58-dev.patch,correct,overfitting
284,correct/patch1-Lang-59-TBar.patch,correct,overfitting
285,correct/patch1-Lang-59-dev.patch,correct,overfitting
286,correct/patch1-Lang-6-AVATAR.patch,correct,correct
287,correct/patch1-Lang-6-SOFix.patch,correct,overfitting
288,correct/patch1-Lang-6-dev.patch,correct,correct
289,correct/patch1-Lang-60-SimFix.patch,correct,overfitting
290,correct/patch1-Lang-60-dev.patch,correct,correct
291,correct/patch1-Lang-61-dev.patch,correct,correct
292,correct/patch1-Lang-62-dev.patch,correct,correct
293,correct/patch1-Lang-63-dev.patch,correct,overfitting
294,correct/patch1-Lang-64-dev.patch,correct,overfitting
295,correct/patch1-Lang-65-dev.patch,correct,overfitting
296,correct/patch1-Lang-7-ACS.patch,correct,overfitting
297,correct/patch1-Lang-7-AVATAR.patch,correct,overfitting
298,correct/patch1-Lang-7-dev.patch,correct,overfitting
299,correct/patch1-Lang-7-jKali.patch,correct,overfitting
300,correct/patch1-Lang-7-kPAR.patch,correct,overfitting
301,correct/patch1-Lang-8-dev.patch,correct,overfitting
302,correct/patch1-Lang-9-dev.patch,correct,overfitting
303,correct/patch1-Math-1-dev.patch,correct,overfitting
304,correct/patch1-Math-10-dev.patch,correct,correct
305,correct/patch1-Math-100-dev.patch,correct,overfitting
306,correct/patch1-Math-101-dev.patch,correct,correct
307,correct/patch1-Math-102-dev.patch,correct,correct
308,correct/patch1-Math-103-dev.patch,correct,correct
309,correct/patch1-Math-104-dev.patch,correct,overfitting
310,correct/patch1-Math-105-dev.patch,correct,correct
311,correct/patch1-Math-106-dev.patch,correct,overfitting
312,correct/patch1-Math-11-TBar.patch,correct,overfitting
313,correct/patch1-Math-11-dev.patch,correct,overfitting
314,correct/patch1-Math-12-dev.patch,correct,overfitting
315,correct/patch1-Math-13-dev.patch,correct,overfitting
316,correct/patch1-Math-14-dev.patch,correct,overfitting
317,correct/patch1-Math-15-dev.patch,correct,correct
318,correct/patch1-Math-16-dev.patch,correct,overfitting
319,correct/patch1-Math-17-dev.patch,correct,correct
320,correct/patch1-Math-18-dev.patch,correct,correct
321,correct/patch1-Math-19-dev.patch,correct,overfitting
322,correct/patch1-Math-2-dev.patch,correct,overfitting
323,correct/patch1-Math-20-dev.patch,correct,correct
324,correct/patch1-Math-21-dev.patch,correct,overfitting
325,correct/patch1-Math-22-FixMiner.patch,correct,overfitting
326,correct/patch1-Math-22-dev.patch,correct,overfitting
327,correct/patch1-Math-23-dev.patch,correct,overfitting
328,correct/patch1-Math-24-dev.patch,correct,overfitting
329,correct/patch1-Math-25-ACS.patch,correct,overfitting
330,correct/patch1-Math-25-dev.patch,correct,overfitting
331,correct/patch1-Math-26-dev.patch,correct,overfitting
332,correct/patch1-Math-27-dev.patch,correct,overfitting
333,correct/patch1-Math-28-dev.patch,correct,overfitting
334,correct/patch1-Math-29-dev.patch,correct,overfitting
335,correct/patch1-Math-3-ACS.patch,correct,overfitting
336,correct/patch1-Math-3-dev.patch,correct,overfitting
337,correct/patch1-Math-30-FixMiner.patch,correct,overfitting
338,correct/patch1-Math-30-dev.patch,correct,correct
339,correct/patch1-Math-31-dev.patch,correct,overfitting
340,correct/patch1-Math-32-Jaid.patch,correct,correct
341,correct/patch1-Math-32-dev.patch,correct,overfitting
342,correct/patch1-Math-33-SOFix.patch,correct,overfitting
343,correct/patch1-Math-33-dev.patch,correct,overfitting
344,correct/patch1-Math-34-HDRepair.patch,correct,overfitting
345,correct/patch1-Math-34-dev.patch,correct,overfitting
346,correct/patch1-Math-35-ACS.patch,correct,overfitting
347,correct/patch1-Math-35-Arja.patch,correct,overfitting
348,correct/patch1-Math-35-dev.patch,correct,overfitting
349,correct/patch1-Math-36-dev.patch,correct,overfitting
350,correct/patch1-Math-37-dev.patch,correct,correct
351,correct/patch1-Math-38-dev.patch,correct,overfitting
352,correct/patch1-Math-39-dev.patch,correct,correct
353,correct/patch1-Math-4-ACS.patch,correct,overfitting
354,correct/patch1-Math-4-AVATAR.patch,correct,overfitting
355,correct/patch1-Math-4-dev.patch,correct,correct
356,correct/patch1-Math-40-dev.patch,correct,overfitting
357,correct/patch1-Math-41-SimFix.patch,correct,correct
358,correct/patch1-Math-41-dev.patch,correct,overfitting
359,correct/patch1-Math-42-dev.patch,correct,overfitting
360,correct/patch1-Math-43-dev.patch,correct,correct
361,correct/patch1-Math-44-dev.patch,correct,overfitting
362,correct/patch1-Math-45-dev.patch,correct,overfitting
363,correct/patch1-Math-46-dev.patch,correct,overfitting
364,correct/patch1-Math-47-dev.patch,correct,overfitting
365,correct/patch1-Math-48-dev.patch,correct,overfitting
366,correct/patch1-Math-49-dev.patch,correct,overfitting
367,correct/patch1-Math-5-ACS.patch,correct,correct
368,correct/patch1-Math-5-Jaid.patch,correct,overfitting
369,correct/patch1-Math-5-SequenceR.patch,correct,correct
370,correct/patch1-Math-5-SimFix.patch,correct,overfitting
371,correct/patch1-Math-5-dev.patch,correct,overfitting
372,correct/patch1-Math-5-jGenProg.patch,correct,overfitting
373,correct/patch1-Math-50-Arja.patch,correct,overfitting
374,correct/patch1-Math-50-DynaMoth.patch,correct,overfitting
375,correct/patch1-Math-50-Jaid.patch,correct,overfitting
376,correct/patch1-Math-50-Kali.patch,correct,correct
377,correct/patch1-Math-50-Nopol2015.patch,correct,correct
378,correct/patch1-Math-50-SOFix.patch,correct,correct
379,correct/patch1-Math-50-SketchFix.patch,correct,correct
380,correct/patch1-Math-50-dev.patch,correct,overfitting
381,correct/patch1-Math-50-jGenProg.patch,correct,overfitting
382,correct/patch1-Math-50-jKali.patch,correct,overfitting
383,correct/patch1-Math-51-dev.patch,correct,overfitting
384,correct/patch1-Math-52-dev.patch,correct,overfitting
385,correct/patch1-Math-53-CapGen.patch,correct,overfitting
386,correct/patch1-Math-53-Jaid.patch,correct,correct
387,correct/patch1-Math-53-SimFix.patch,correct,overfitting
388,correct/patch1-Math-53-dev.patch,correct,overfitting
389,correct/patch1-Math-53-jGenProg.patch,correct,overfitting
390,correct/patch1-Math-54-dev.patch,correct,correct
391,correct/patch1-Math-55-dev.patch,correct,overfitting
392,correct/patch1-Math-56-dev.patch,correct,overfitting
393,correct/patch1-Math-57-FixMiner.patch,correct,correct
394,correct/patch1-Math-57-dev.patch,correct,overfitting
395,correct/patch1-Math-58-Arja.patch,correct,overfitting
396,correct/patch1-Math-58-CapGen.patch,correct,correct
397,correct/patch1-Math-58-dev.patch,correct,overfitting
398,correct/patch1-Math-59-AVATAR.patch,correct,overfitting
399,correct/patch1-Math-59-dev.patch,correct,correct
400,correct/patch1-Math-6-dev.patch,correct,correct
401,correct/patch1-Math-60-dev.patch,correct,overfitting
402,correct/patch1-Math-61-ACS.patch,correct,correct
403,correct/patch1-Math-61-dev.patch,correct,overfitting
404,correct/patch1-Math-62-dev.patch,correct,overfitting
405,correct/patch1-Math-63-CapGen.patch,correct,correct
406,correct/patch1-Math-63-dev.patch,correct,correct
407,correct/patch1-Math-64-dev.patch,correct,overfitting
408,correct/patch1-Math-65-CapGen.patch,correct,correct
409,correct/patch1-Math-65-TBar.patch,correct,correct
410,correct/patch1-Math-65-dev.patch,correct,overfitting
411,correct/patch1-Math-66-dev.patch,correct,overfitting
412,correct/patch1-Math-67-dev.patch,correct,correct
413,correct/patch1-Math-68-dev.patch,correct,overfitting
414,correct/patch1-Math-69-dev.patch,correct,correct
415,correct/patch1-Math-7-dev.patch,correct,correct
416,correct/patch1-Math-70-HDRepair.patch,correct,overfitting
417,correct/patch1-Math-70-SOFix.patch,correct,overfitting
418,correct/patch1-Math-70-dev.patch,correct,correct
419,correct/patch1-Math-71-SimFix.patch,correct,correct
420,correct/patch1-Math-71-dev.patch,correct,overfitting
421,correct/patch1-Math-72-SimFix.patch,correct,overfitting
422,correct/patch1-Math-72-dev.patch,correct,overfitting
423,correct/patch1-Math-73-dev.patch,correct,correct
424,correct/patch1-Math-73-jGenProg.patch,correct,overfitting
425,correct/patch1-Math-74-dev.patch,correct,correct
426,correct/patch1-Math-75-FixMiner.patch,correct,correct
427,correct/patch1-Math-75-SequenceR.patch,correct,overfitting
428,correct/patch1-Math-75-dev.patch,correct,overfitting
429,correct/patch1-Math-76-dev.patch,correct,overfitting
430,correct/patch1-Math-77-dev.patch,correct,correct
431,correct/patch1-Math-78-dev.patch,correct,overfitting
432,correct/patch1-Math-79-FixMiner.patch,correct,correct
433,correct/patch1-Math-79-dev.patch,correct,overfitting
434,correct/patch1-Math-8-dev.patch,correct,overfitting
435,correct/patch1-Math-80-Jaid.patch,correct,correct
436,correct/patch1-Math-80-SOFix.patch,correct,overfitting
437,correct/patch1-Math-80-dev.patch,correct,overfitting
438,correct/patch1-Math-81-dev.patch,correct,overfitting
439,correct/patch1-Math-82-ACS.patch,correct,overfitting
440,correct/patch1-Math-82-SequenceR.patch,correct,overfitting
441,correct/patch1-Math-82-dev.patch,correct,overfitting
442,correct/patch1-Math-82-jMutRepair.patch,correct,overfitting
443,correct/patch1-Math-83-dev.patch,correct,overfitting
444,correct/patch1-Math-84-dev.patch,correct,overfitting
445,correct/patch1-Math-85-ACS.patch,correct,overfitting
446,correct/patch1-Math-85-SOFix.patch,correct,overfitting
447,correct/patch1-Math-85-dev.patch,correct,overfitting
448,correct/patch1-Math-85-jMutRepair.patch,correct,overfitting
449,correct/patch1-Math-86-dev.patch,correct,correct
450,correct/patch1-Math-87-dev.patch,correct,overfitting
451,correct/patch1-Math-88-dev.patch,correct,overfitting
452,correct/patch1-Math-89-ACS.patch,correct,overfitting
453,correct/patch1-Math-89-AVATAR.patch,correct,overfitting
454,correct/patch1-Math-89-dev.patch,correct,overfitting
455,correct/patch1-Math-9-dev.patch,correct,overfitting
456,correct/patch1-Math-90-ACS.patch,correct,overfitting
457,correct/patch1-Math-90-dev.patch,correct,overfitting
458,correct/patch1-Math-91-dev.patch,correct,overfitting
459,correct/patch1-Math-92-dev.patch,correct,overfitting
460,correct/patch1-Math-93-ACS.patch,correct,overfitting
461,correct/patch1-Math-93-dev.patch,correct,overfitting
462,correct/patch1-Math-94-dev.patch,correct,overfitting
463,correct/patch1-Math-95-dev.patch,correct,overfitting
464,correct/patch1-Math-96-dev.patch,correct,overfitting
465,correct/patch1-Math-97-dev.patch,correct,overfitting
466,correct/patch1-Math-98-Arja.patch,correct,overfitting
467,correct/patch1-Math-98-dev.patch,correct,overfitting
468,correct/patch1-Math-99-ACS.patch,correct,overfitting
469,correct/patch1-Math-99-dev.patch,correct,overfitting
470,correct/patch1-Time-1-dev.patch,correct,overfitting
471,correct/patch1-Time-10-dev.patch,correct,overfitting
472,correct/patch1-Time-11-dev.patch,correct,overfitting
473,correct/patch1-Time-12-dev.patch,correct,overfitting
474,correct/patch1-Time-13-dev.patch,correct,overfitting
475,correct/patch1-Time-14-dev.patch,correct,overfitting
476,correct/patch1-Time-15-ACS.patch,correct,overfitting
477,correct/patch1-Time-15-dev.patch,correct,overfitting
478,correct/patch1-Time-16-dev.patch,correct,overfitting
479,correct/patch1-Time-17-dev.patch,correct,overfitting
480,correct/patch1-Time-18-dev.patch,correct,overfitting
481,correct/patch1-Time-19-HDRepair.patch,correct,overfitting
482,correct/patch1-Time-19-dev.patch,correct,overfitting
